Volume Tandon (L);Waktu (s);TDS Awal (ppm);TDS Akhir (ppm);Delta TDS (ppm);Rata Rata Delta TDS (ppm);
100;42;1031;1064;33;;
100;42;1064;1098;34;;
100;42;1098;1136;38;;
100;42;1136;1175;39;;
100;42;1175;1211;36;;
100;43;1211;1249;38;37,5;
100;43;1249;1290;41;;
100;43;1290;1326;36;;
100;43;1326;1364;38;;
100;43;1364;1398;34;;
100;43;1398;1437;39;;
100;43;1437;1477;40;;
100;43;1477;1519;42;;
100;43;1519;1553;34;;
100;43;1553;1586;33;;
100;44;1586;1621;35;38,2;
100;44;1621;1664;43;;
100;44;1664;1702;38;;
100;44;1702;1744;42;;
100;44;1744;1782;38;;
100;44;1782;1820;38;;
100;44;1820;1856;36;;
100;44;1856;1893;37;;
100;44;1893;1931;38;;
100;44;1931;1968;37;;
100;45;289;332;43;39,1;
100;45;332;372;40;;
100;45;372;411;39;;
100;45;411;455;44;;
100;45;455;491;36;;
100;45;491;525;34;;
100;45;525;563;38;;
100;45;563;602;39;;
100;45;602;646;44;;
100;45;646;680;34;;
100;46;680;724;44;40,1;
100;46;724;767;43;;
100;46;767;806;39;;
100;46;806;847;41;;
100;46;847;888;41;;
100;46;888;923;35;;
100;46;923;965;42;;
100;46;965;1001;36;;
100;46;1001;1041;40;;
100;46;1041;1081;40;;
100;47;1081;1117;36;40,4;
100;47;1117;1160;43;;
100;47;1160;1204;44;;
100;47;1204;1240;36;;
100;47;1240;1284;44;;
100;47;1284;1322;38;;
100;47;1322;1360;38;;
100;47;1360;1405;45;;
100;47;1405;1441;36;;
100;47;1441;1485;44;;
100;48;1485;1527;42;42,4;
100;48;1527;1572;45;;
100;48;1572;1613;41;;
100;48;1613;1652;39;;
100;48;1652;1697;45;;
100;48;1697;1737;40;;
100;48;1737;1781;44;;
100;48;1781;1823;42;;
100;48;1823;1865;42;;
100;48;1865;1909;44;;
100;49;1909;1954;45;43,9;
100;49;1954;2000;46;;
100;49;276;323;47;;
100;49;323;369;46;;
100;49;369;410;41;;
100;49;410;451;41;;
100;49;451;491;40;;
100;49;491;537;46;;
100;49;537;582;45;;
100;49;582;624;42;;
100;50;624;672;48;43,3;
100;50;672;712;40;;
100;50;712;756;44;;
100;50;756;803;47;;
100;50;803;845;42;;
100;50;845;889;44;;
100;50;889;929;40;;
100;50;929;972;43;;
100;50;972;1015;43;;
100;50;1015;1057;42;;
100;51;1057;1103;46;44,9;
100;51;1103;1150;47;;
100;51;1150;1194;44;;
100;51;1194;1243;49;;
100;51;1243;1285;42;;
100;51;1285;1330;45;;
100;51;1330;1373;43;;
100;51;1373;1417;44;;
100;51;1417;1459;42;;
100;51;1459;1506;47;;
100;52;1506;1551;45;43,6;
100;52;1551;1592;41;;
100;52;1592;1633;41;;
100;52;1633;1677;44;;
100;52;1677;1721;44;;
100;52;1721;1764;43;;
100;52;1764;1806;42;;
100;52;1806;1856;50;;
100;52;1856;1901;45;;
100;52;1901;1942;41;;
100;53;1942;1982;40;44,3;
100;53;256;303;47;;
100;53;303;349;46;;
100;53;349;396;47;;
100;53;396;440;44;;
100;53;440;483;43;;
100;53;483;523;40;;
100;53;523;570;47;;
100;53;570;613;43;;
100;53;613;659;46;;
100;54;659;702;43;44,7;
100;54;702;747;45;;
100;54;747;791;44;;
100;54;791;837;46;;
100;54;837;883;46;;
100;54;883;930;47;;
100;54;930;974;44;;
100;54;974;1016;42;;
100;54;1016;1058;42;;
100;54;1058;1106;48;;
100;55;1106;1156;50;46;
100;55;1156;1197;41;;
100;55;1197;1245;48;;
100;55;1245;1286;41;;
100;55;1286;1332;46;;
100;55;1332;1375;43;;
100;55;1375;1420;45;;
100;55;1420;1469;49;;
100;55;1469;1517;48;;
100;55;1517;1566;49;;
100;56;1566;1615;49;46,6;
100;56;1615;1660;45;;
100;56;1660;1703;43;;
100;56;1703;1747;44;;
100;56;1747;1796;49;;
100;56;1796;1841;45;;
100;56;1841;1890;49;;
100;56;1890;1939;49;;
100;56;1939;1984;45;;
100;56;252;300;48;;
100;57;300;349;49;47,5;
100;57;349;397;48;;
100;57;397;446;49;;
100;57;446;489;43;;
100;57;489;536;47;;
100;57;536;583;47;;
100;57;583;630;47;;
100;57;630;679;49;;
100;57;679;726;47;;
100;57;726;775;49;;
100;58;775;824;49;48,8;
100;58;824;871;47;;
100;58;871;915;44;;
100;58;915;968;53;;
100;58;968;1016;48;;
100;58;1016;1068;52;;
100;58;1068;1119;51;;
100;58;1119;1167;48;;
100;58;1167;1216;49;;
100;58;1216;1263;47;;
100;59;1263;1316;53;50,9;
100;59;1316;1366;50;;
100;59;1366;1419;53;;
100;59;1419;1473;54;;
100;59;1473;1520;47;;
100;59;1520;1568;48;;
100;59;1568;1614;46;;
100;59;1614;1667;53;;
100;59;1667;1720;53;;
100;59;1720;1772;52;;
100;60;1772;1821;49;50;
100;60;1821;1870;49;;
100;60;1870;1922;52;;
100;60;1922;1970;48;;
100;60;298;347;49;;
100;60;347;395;48;;
100;60;395;447;52;;
100;60;447;499;52;;
100;60;499;552;53;;
100;60;552;600;48;;
