index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
52,50,53,84.88043376480132
53,50,54,86.13057301238402
54,50,55,85.87341724089858
55,50,56,87.76874638570035
56,50,57,89.68318950766185
57,50,58,91.35796085494908
58,50,59,92.17346699929338
59,50,60,93.78704648295187
0,60,1,2.3916346060999993
1,60,2,1.8137785972075111
2,60,3,2.7679974620977057
3,60,4,3.769125474763741
4,60,5,4.698614905489612
5,60,6,5.9574837854283285
6,60,7,7.636564849550231
7,60,8,8.888728850418135
8,60,9,10.497275963361533
9,60,10,12.007480710247226
10,60,11,13.446427016348974
11,60,12,15.33841811166035
12,60,13,17.217969323205732
13,60,14,18.308713209734687
14,60,15,20.60124011769894
15,60,16,22.950752145805573
16,60,17,25.48054785726237
17,60,18,27.428316909823657
18,60,19,28.98003624288533
19,60,20,30.5054799586538
20,60,21,32.72638002350852
21,60,22,35.10415406050092
22,60,23,37.04459541406743
23,60,24,39.03667322492929
24,60,25,40.04799530585434
25,60,26,41.845576935277194
26,60,27,43.9367439068641
27,60,28,44.95993194819407
28,60,29,46.0586694275389
29,60,30,47.18557862196526
30,60,31,48.013870594984866
31,60,32,50.8276717020172
32,60,33,52.98760672958174
33,60,34,53.93066795689526
34,60,35,55.65251803281602
35,60,36,56.44603559493966
36,60,37,56.419187369104336
37,60,38,59.521335656516534
38,60,39,60.7201534161487
39,60,40,61.33370863949447
40,60,41,62.56483611829346
41,60,42,63.8680411843059
42,60,43,64.85153636889788
43,60,44,67.77356393477369
44,60,45,67.02073394989927
45,60,46,67.89214742574605
46,60,47,69.39440607332321
47,60,48,70.77644392090689
48,60,49,72.53945881850925
49,60,50,71.27949416661836
50,60,51,72.25569079880094
51,60,52,73.09370325416583
52,60,53,74.86590968305525
53,60,54,75.10982906364325
54,60,55,74.32369586735999
55,60,56,73.49969525130327
56,60,57,73.89657717607359
57,60,58,74.5870696043859
58,60,59,75.2436891847779
59,60,60,75.78095374809486
0,70,1,1.1262292785999999
1,70,2,1.5728118194103622
2,70,3,2.505387474511808
3,70,4,3.25684096365042
4,70,5,4.236710867366055
5,70,6,5.973448938310022
6,70,7,6.668842108523791
7,70,8,8.136421400344693
8,70,9,9.445133367473128
9,70,10,10.558179566051516
10,70,11,11.368204043160707
11,70,12,12.22756038856746
12,70,13,14.29177607655231
13,70,14,16.477993570547632
14,70,15,16.81226484085608
15,70,16,18.071208098247475
16,70,17,19.099972084188327
17,70,18,19.936528806557412
18,70,19,21.299470768202795
19,70,20,22.657275566361626
20,70,21,23.675079902326956
21,70,22,25.148573142980464
22,70,23,26.55596481302581
23,70,24,27.457035970769464
24,70,25,28.566998498854502
25,70,26,29.250850094294652
26,70,27,29.63478119192475
27,70,28,31.28093613411494
28,70,29,32.185540603803716
29,70,30,33.56637348950589
30,70,31,32.46690550473751
31,70,32,33.40751846678101
32,70,33,32.7717758712176
33,70,34,33.601140152869434
34,70,35,34.114572297656565
35,70,36,35.7002358774409
36,70,37,35.94016310029387
37,70,38,37.387214250805606
38,70,39,38.74842587468126
39,70,40,39.679857278540865
40,70,41,41.11742502272402
41,70,42,43.543848150703276
42,70,43,44.32090254369881
43,70,44,44.7295291920536
44,70,45,46.051013509757794
45,70,46,47.04512810760711
46,70,47,47.55837680976332
47,70,48,47.34668964053736
48,70,49,48.247181047163636
49,70,50,49.320629438144564
50,70,51,49.35977705479765
51,70,52,51.34657957552383
52,70,53,52.80514662334944
53,70,54,54.824439399571204
54,70,55,54.94084922880792
55,70,56,56.14892850146789
