index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
11,50,12,48.20829376915281
12,50,13,52.636247901370645
13,50,14,56.203123058166526
14,50,15,58.63134313945331
15,50,16,64.50359833866214
16,50,17,66.54280064909094
17,50,18,70.59527911413092
18,50,19,73.82370469766884
19,50,20,78.27274515434763
20,50,21,82.04155527044877
21,50,22,84.9289105359567
22,50,23,90.86064646397429
23,50,24,94.13786802575119
24,50,25,95.0142582286803
25,50,26,102.26836758494966
26,50,27,105.34645565726821
27,50,28,107.4884361795054
28,50,29,109.80644193783262
29,50,30,116.3994761121193
30,50,31,119.35847803960402
31,50,32,123.9443697643098
32,50,33,129.70123875256212
33,50,34,136.3756481618738
34,50,35,141.27767610316613
35,50,36,144.74351585670829
36,50,37,149.40733513325588
37,50,38,153.94488378588926
38,50,39,157.87828963166947
39,50,40,162.56977794402997
40,50,41,164.76146024237144
41,50,42,169.86359665610672
42,50,43,174.5528473746969
43,50,44,179.4235801093426
44,50,45,181.76380626607576
45,50,46,185.7915574644997
46,50,47,191.0120846429582
47,50,48,195.43207041339284
48,50,49,200.6179699855408
49,50,50,204.818949480194
50,50,51,209.84665377597358
51,50,52,213.76258519856847
52,50,53,218.1071638683649
53,50,54,222.65523872888997
54,50,55,227.75685351618966
55,50,56,232.62283549780418
56,50,57,236.82458312242275
57,50,58,240.9966396712827
58,50,59,245.75735239683087
59,50,60,251.24997992317753
0,60,1,6.196201793999999
1,60,2,5.967847162411438
2,60,3,9.02059190172961
3,60,4,12.539096601076844
4,60,5,15.74763758622242
5,60,6,20.55460123461299
6,60,7,23.412804964204298
7,60,8,26.8661458498052
8,60,9,29.658513724559395
9,60,10,32.54916107073148
10,60,11,34.69672333856959
11,60,12,38.03636486298465
12,60,13,40.804326337882635
13,60,14,43.70816021304706
14,60,15,46.09999204107123
15,60,16,50.81597392570995
16,60,17,55.031638499964245
17,60,18,58.993149847225524
18,60,19,63.86320143483893
19,60,20,71.26888768913432
20,60,21,77.41471296766412
21,60,22,76.14283154929043
22,60,23,84.91652544753507
23,60,24,92.49315287576071
24,60,25,98.09142023098755
25,60,26,103.59535762219119
26,60,27,110.70405744701722
27,60,28,115.52125367270563
28,60,29,122.01234970837895
29,60,30,126.99253476844493
30,60,31,132.60395480491573
31,60,32,137.14553745125028
32,60,33,142.13950345946807
33,60,34,147.57698215222496
34,60,35,152.9606402478018
35,60,36,158.2797206989697
36,60,37,163.37994778922916
37,60,38,168.50865493225692
38,60,39,173.5836419711644
39,60,40,178.90779780377312
40,60,41,185.0141485763062
41,60,42,190.8547074722415
42,60,43,195.9137826835643
43,60,44,202.00174952215713
44,60,45,207.52753095998065
45,60,46,213.08288243233756
46,60,47,219.76950485393118
47,60,48,224.02040925495203
48,60,49,228.95646559166738
49,60,50,235.1017143533066
50,60,51,240.76649917732766
51,60,52,246.50655799207735
52,60,53,250.28718895869446
53,60,54,255.53835114827172
54,60,55,262.1687269417057
55,60,56,269.06441687818705
